,d_f_pipeline,d_g_oil,i_g_airline,d_f_pipeline_imputed,d_g_oil_imputed,i_g_airline_imputed,d_f_pipeline_roll5d,d_g_oil_roll5d,i_g_airline_roll5d,d_f_pipeline_imputed_lagg,d_g_oil_imputed_lagg,i_g_airline_imputed_lagg,d_f_pipeline_roll5d_lagg,d_g_oil_roll5d_lagg,i_g_airline_roll5d_lagg
2020-07-14,,-0.1599999984105428,-0.2000000040446009,0.0,-0.1599999984105428,-0.2000000040446009,0.06000000089406967,-0.14307143087720536,-0.31283230234932374,0.0,-0.10000000074505806,-0.18000000268220898,0.08000000218550364,-0.16561688655334195,-0.30658230195018554
2020-07-15,-0.8000000119209291,-0.2,-0.3466666782895724,-0.8000000119209291,-0.2,-0.3466666782895724,-0.08000000119209291,-0.1630714298341241,-0.3121656367158043,0.0,-0.1599999984105428,-0.2000000040446009,0.06000000089406967,-0.14307143087720536,-0.31283230234932374
2020-07-16,-0.10000000149011612,-0.11249999701976776,-0.3249999973922968,-0.10000000149011612,-0.11249999701976776,-0.3249999973922968,-0.10000000149011615,-0.1770000005389248,-0.288594207083555,-0.8000000119209291,-0.2,-0.3466666782895724,-0.08000000119209291,-0.1630714298341241,-0.3121656367158043
2020-07-17,-0.3500000014901161,-0.19444444734189245,-0.4263157966105561,-0.3500000014901161,-0.19444444734189245,-0.4263157966105561,-0.2500000029802322,-0.15338888870345171,-0.2955964958038463,-0.10000000149011612,-0.11249999701976776,-0.3249999973922968,-0.10000000149011615,-0.1770000005389248,-0.288594207083555
2020-07-18,,-0.18000000417232515,-0.350000012665987,0.0,-0.18000000417232515,-0.350000012665987,-0.2500000029802322,-0.16938888938890512,-0.32959649780060185,-0.3500000014901161,-0.19444444734189245,-0.4263157966105561,-0.2500000029802322,-0.15338888870345171,-0.2955964958038463
2020-07-19,,-0.1833333329608043,-0.1666666716337204,0.0,-0.1833333329608043,-0.1666666716337204,-0.2500000029802322,-0.1740555562989574,-0.3229298313184258,0.0,-0.18000000417232515,-0.350000012665987,-0.2500000029802322,-0.16938888938890512,-0.32959649780060185
2020-07-20,0.09999999403953552,-0.2840000024437904,-0.35250000208616256,0.09999999403953552,-0.2840000024437904,-0.35250000208616256,-0.07000000178813932,-0.19085555678771549,-0.3240964960777438,0.0,-0.1833333329608043,-0.1666666716337204,-0.2500000029802322,-0.1740555562989574,-0.3229298313184258
2020-07-21,0.10000000149011612,-0.1230769266302769,-0.4277777812547154,0.10000000149011612,-0.1230769266302769,-0.4277777812547154,-0.030000001192092875,-0.19297094270981732,-0.34465205285022754,0.09999999403953552,-0.2840000024437904,-0.35250000208616256,-0.07000000178813932,-0.19085555678771549,-0.3240964960777438
2020-07-22,-0.29999999329447746,-0.24166667213042575,-0.2799999974668026,-0.29999999329447746,-0.24166667213042575,-0.2799999974668026,-0.019999999552965143,-0.20241538766752395,-0.3153888930214769,0.10000000149011612,-0.1230769266302769,-0.4277777812547154,-0.030000001192092875,-0.19297094270981732,-0.34465205285022754
2020-07-23,-0.4000000034769376,-0.16500000432133674,-0.3210526344023253,-0.4000000034769376,-0.16500000432133674,-0.3210526344023253,-0.10000000024835268,-0.19941538769732628,-0.3095994173687445,-0.29999999329447746,-0.24166667213042575,-0.2799999974668026,-0.019999999552965143,-0.20241538766752395,-0.3153888930214769
