Date,Value,Daily News Sentiment_INT,Daily News Sentiment_NA
2018-08-10,79.42,0.0,0.0
2018-08-13,78.56,0.0,0.0
2018-08-14,78.31,0.0,0.0
2018-08-15,76.94,-0.2,0.0
2018-08-16,78.0,0.3,0.0
2018-08-17,78.26,0.0,0.0
2018-08-20,78.81,0.0,0.0
2018-08-21,78.83,0.0,0.0
2018-08-22,79.96,-0.3,0.0
2018-08-23,79.08,0.0,0.0
2018-08-24,79.62,0.0,0.0
2018-08-27,80.4,0.0,0.0
2018-08-28,80.28,0.0,0.0
2018-08-29,80.86,0.0,0.0
2018-08-30,80.51,0.0,0.0
2018-08-31,80.17,0.0,0.1
2018-09-04,80.29,0.0,0.0
2018-09-05,81.36,0.0,0.0
2018-09-06,80.46,0.0,0.0
2018-09-07,81.83,0.0,-0.1
2018-09-10,81.71,0.0,0.2
2018-09-11,82.86,0.0,0.0
2018-09-12,83.13,0.0,0.0
2018-09-13,82.32,0.0,0.0
2018-09-14,82.92,0.0,0.0
2018-09-17,83.41,0.0,0.0
2018-09-18,83.63,0.0,0.0
2018-09-19,84.63,0.0,0.0
2018-09-20,84.82,0.0,0.1
2018-09-21,85.17,0.0,0.0
2018-09-24,86.6,0.0,0.1
2018-09-25,86.5,0.0,0.0
2018-09-26,85.78,0.0,0.1
2018-09-27,85.77,0.0,0.0
2018-09-28,85.02,0.0,0.3
2018-10-01,85.81,0.0,0.0
2018-10-02,86.46,0.0,0.0
2018-10-03,86.15,0.0,0.0
2018-10-04,85.58,0.0,0.0
2018-10-05,85.34,0.0,0.0
2018-10-08,86.13,0.0,0.0
2018-10-09,86.51,-0.2,-0.3
2018-10-10,84.52,0.0,0.1
2018-10-11,81.6,0.0,0.0
2018-10-12,81.38,0.0,0.0
2018-10-15,80.82,0.0,0.0
2018-10-16,81.2,0.0,0.0
2018-10-17,81.5,0.0,0.0
2018-10-18,81.85,0.0,-0.4
2018-10-19,81.97,0.0,0.0
2018-10-22,81.15,0.0,0.0
2018-10-23,79.84,0.0,0.0
2018-10-24,77.62,-0.5,-0.43
2018-10-25,78.31,0.0,-0.7
2018-10-26,77.53,0.0,0.0
2018-10-29,77.05,0.0,-0.6
2018-10-30,78.78,0.0,0.0
2018-10-31,79.68,0.0,0.0
2018-11-01,80.67,0.0,0.0
2018-11-02,81.95,-0.1,-0.3
2018-11-05,81.64,0.0,0.0
2018-11-06,81.99,0.0,-0.1
2018-11-07,83.03,0.0,0.0
2018-11-08,81.71,0.0,0.0
2018-11-09,80.87,0.0,-0.4
2018-11-12,79.83,0.0,0.0
2018-11-13,78.0,0.0,0.0
2018-11-14,77.39,0.0,0.0
2018-11-15,78.19,-0.8,0.0
2018-11-16,78.96,0.0,0.0
2018-11-19,79.22,0.0,0.0
2018-11-20,76.97,0.0,0.0
2018-11-21,77.56,0.0,0.0
2018-11-23,75.49,-0.5,0.0
2018-11-26,76.98,0.0,0.0
2018-11-27,77.05,0.0,0.0
2018-11-28,78.45,0.0,0.1
2018-11-29,79.06,0.0,0.0
2018-11-30,79.5,-0.1,0.0
2018-12-03,81.22,0.0,0.0
2018-12-04,79.43,0.0,0.0
2018-12-06,78.39,0.0,0.0
2018-12-07,77.64,0.0,0.0
2018-12-10,76.54,0.0,0.0
2018-12-11,76.68,0.0,0.0
2018-12-12,76.02,0.0,0.0
2018-12-13,76.98,0.0,0.0
2018-12-14,75.58,0.0,0.0
2018-12-17,74.04,0.0,0.0
2018-12-18,72.0,0.0,-0.23
2018-12-19,70.78,0.0,0.0
2018-12-20,68.63,0.0,0.0
2018-12-21,68.12,0.0,0.0
2018-12-24,65.51,-0.1,0.0
2018-12-26,68.64,-0.2,-0.43
2018-12-27,68.94,0.0,0.0
2018-12-28,68.17,0.0,0.0
2018-12-31,68.19,0.0,-0.3
2019-01-02,69.69,0.0,0.0
2019-01-03,68.62,0.0,0.0
2019-01-04,71.15,0.0,0.0
2019-01-07,71.52,0.0,-0.6
2019-01-08,72.04,0.0,0.0
2019-01-09,72.42,0.0,0.0
2019-01-10,72.05,0.0,-0.2
2019-01-11,71.72,0.0,0.0
2019-01-14,71.63,0.0,0.0
2019-01-15,71.67,0.0,-0.3
2019-01-16,71.64,0.0,0.0
