Date,Value_ger_walk,Value_ger_drive,Value_ger_trans,Value_ind_walk,Value_ind_drive,Value_rus_walk,Value_rus_drive,Value_us_walk,Value_us_drive,Value_us_trans,Value_jap_walk,Value_jap_drive,Value_jap_trans
2020-08-08,160.3464705882353,153.57294117647055,170.11722222222224,64.81333333333332,67.45666666666666,158.8175,140.57750000000001,203.87568627450977,188.6101886792453,81.34069767441859,145.56914893617022,185.4540425531915,179.76787234042553
2020-08-09,123.49088235294117,147.0114705882353,164.1072222222222,57.38166666666667,63.92500000000001,152.4225,140.18249999999998,150.79313725490192,155.2441509433962,70.53813953488373,138.75191489361703,177.86297872340424,173.29957446808515
2020-08-10,145.30411764705886,142.08823529411768,171.76388888888886,62.60333333333333,65.71666666666667,169.075,150.56,168.50588235294117,160.7824528301887,77.41279069767442,138.18510638297872,162.8885106382979,164.59957446808508
2020-08-11,148.62500000000003,142.88205882352943,174.9511111111111,60.99166666666667,63.10833333333333,169.77249999999998,150.4425,171.90274509803922,161.9766037735849,76.70976744186049,137.34170212765957,164.7663829787234,165.59212765957452
2020-08-12,144.89941176470586,143.20147058823528,169.06888888888886,62.20333333333334,62.98666666666666,162.5525,146.475,173.90352941176468,164.19169811320756,77.33627906976746,138.72872340425533,177.3829787234043,174.1234042553191
2020-08-13,144.87294117647056,142.68176470588233,166.1161111111111,59.879999999999995,65.76,165.55249999999998,146.85750000000002,182.17254901960786,171.04132075471696,78.94441860465116,143.69531914893616,187.29531914893616,182.51085106382982
2020-08-14,150.73882352941177,153.3273529411765,165.1633333333333,59.62833333333333,68.17166666666667,174.89,158.425,212.24509803921575,194.88830188679245,85.59395348837211,138.97468085106382,189.82063829787236,183.09851063829794
2020-08-15,165.3544117647059,147.8629411764706,165.29666666666665,56.568333333333335,61.738333333333344,165.695,143.6275,216.70176470588237,189.02641509433965,82.276511627907,125.41680851063833,170.80978723404255,167.73148936170216
2020-08-16,127.34029411764708,147.32117647058823,164.86666666666667,61.71833333333334,66.35666666666667,154.1225,143.5125,156.94607843137257,153.0641509433962,71.1439534883721,118.60574468085103,136.7514893617021,144.55914893617023
2020-08-17,143.49676470588238,137.49029411764707,167.88166666666666,65.335,70.34333333333333,180.24,157.57,181.95725490196077,158.517358490566,79.68883720930232,120.51957446808511,132.85297872340425,140.69425531914894
2020-08-18,150.16029411764708,140.73441176470584,166.34777777777776,63.69,66.90333333333332,183.89249999999998,159.6825,182.03607843137252,157.74867924528303,78.18906976744185,119.45978723404255,131.14659574468087,139.4636170212766
2020-08-19,151.7358823529412,141.16147058823532,166.23777777777778,62.97999999999999,66.96666666666665,180.255,159.115,182.89254901960788,159.49452830188673,77.64465116279074,117.6282978723404,129.2674468085106,137.0168085106383
2020-08-20,147.8041176470588,143.5455882352941,168.20999999999998,65.63833333333334,70.13666666666667,181.01,158.165,188.27000000000007,166.39207547169812,79.66209302325582,116.60914893617023,129.25425531914894,137.80191489361704
2020-08-21,148.26941176470586,151.83029411764704,165.72722222222222,61.315,66.51,181.59,166.3,218.9127450980392,189.31754716981135,86.02372093023257,131.98531914893616,154.72936170212768,159.1412765957447
2020-08-22,165.10647058823528,143.2876470588235,165.26666666666668,57.71,64.28,169.59750000000003,145.5,217.84529411764706,181.12132075471698,82.29116279069767,131.2791489361702,155.10851063829782,158.81851063829788
2020-08-23,123.79058823529412,139.87500000000003,152.9394444444445,68.5,73.50833333333333,156.36,139.82999999999998,156.86725490196076,145.70735849056607,71.28488372093022,111.13170212765958,123.60042553191494,131.77446808510643
2020-08-24,139.21029411764704,134.6855882352941,162.06888888888886,69.55666666666667,73.24333333333333,178.875,158.5,176.59137254901952,148.25547169811327,78.0720930232558,111.13787234042552,122.53702127659574,130.44893617021276
2020-08-25,142.59941176470585,135.3141176470588,162.3677777777778,70.99166666666667,70.71166666666667,190.73499999999999,167.195,176.36000000000004,148.5845283018868,76.70976744186045,112.63765957446809,122.90723404255318,130.42170212765961
2020-08-26,133.68088235294115,136.77617647058824,160.0727777777778,68.55833333333332,71.20333333333333,187.2875,165.78250000000003,179.22823529411767,151.62339622641508,76.6502325581395,109.6331914893617,120.96340425531912,128.9231914893617
2020-08-27,144.3111764705882,140.2355882352941,164.48333333333332,70.60166666666666,73.79833333333333,188.83249999999998,166.935,178.4272549019608,154.52226415094336,75.9606976744186,109.69106382978724,122.48617021276593,130.51382978723404
2020-08-28,154.21705882352944,155.55529411764707,166.35444444444445,69.43333333333334,79.13666666666667,197.71750000000003,178.3075,209.07392156862747,179.11320754716985,83.3106976744186,134.56957446808508,156.87340425531914,161.87829787234043
